epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.295,2.87914,3.54812,3.54706,0.28369,0.29114,0.14624,0.05156,2.50465,3.03982,2.87634,0.000554371,0.000554371,0.000554371
2,188.674,2.37805,2.74898,2.65965,0.18465,0.36595,0.16778,0.05087,2.3734,2.78448,2.59904,0.00100014,0.00100014,0.00100014
3,275.504,2.19409,2.45572,2.4344,0.27197,0.3129,0.21154,0.06754,2.27786,2.4709,2.51298,0.0013359,0.0013359,0.0013359
4,359.426,2.06626,2.28004,2.28593,0.37038,0.38077,0.31507,0.12705,2.00585,2.13854,2.23476,0.0011719,0.0011719,0.0011719
5,443.131,1.96839,2.14073,2.17317,0.45105,0.41718,0.38699,0.16253,1.99152,2.03607,2.19547,0.00100687,0.00100687,0.00100687
6,527.16,1.90774,2.0219,2.10631,0.50668,0.44894,0.43041,0.19504,1.87061,1.92872,2.07986,0.000841835,0.000841835,0.000841835
7,610.6,1.85784,1.93643,2.05567,0.51187,0.47817,0.47033,0.21131,1.84037,1.85212,2.04871,0.000676802,0.000676802,0.000676802
8,694.103,1.79898,1.86986,1.99739,0.54764,0.47424,0.47986,0.23057,1.78149,1.81478,2.00818,0.000511769,0.000511769,0.000511769
9,777.4,1.76326,1.80165,1.96017,0.58349,0.52189,0.53425,0.26526,1.71636,1.70445,1.9457,0.000346736,0.000346736,0.000346736
10,860.875,1.72186,1.75058,1.92579,0.59708,0.52659,0.54563,0.27711,1.67661,1.66199,1.90486,0.000181703,0.000181703,0.000181703
